Frame,Sub Frame,RF,BF,MG,LG,AT
33,0,-0.0154495,3.81E-05,0.0976563,0.053215,0.00770569
33,1,-0.0175858,-0.000419617,0.0956726,0.0540543,0.0636292
33,2,-0.0203323,-0.000839233,0.0920486,0.0537872,0.0973511
33,3,-0.0138855,0.00141144,0.0857544,0.0513458,0.0937653
33,4,-0.0112915,0.0018692,0.0815964,0.0541687,0.0926971
34,0,-0.0130463,0.00106812,0.0751877,0.0499344,0.0902939
34,1,-0.00259399,0.00465393,0.0705338,0.052948,0.0830078
34,2,0.00286102,0.00835419,0.0662231,0.0570297,0.0799179
34,3,0.00804901,0.0101089,0.057869,0.055275,0.0775909
34,4,0.00377655,0.00999451,0.0489807,0.0542068,0.0448227
35,0,0.00926971,0.0104904,0.0389481,0.0562286,-0.00846863
35,1,0.00976563,0.00953674,0.0317001,0.0574493,-0.0385284
35,2,0.0131989,0.0106049,0.0255203,0.056076,-0.00511169
35,3,0.0129318,0.0127029,0.0242615,0.0549698,0.0348663
35,4,0.0135803,0.0123978,0.0266266,0.0568771,0.0652695
36,0,0.0138474,0.0109863,0.0244141,0.0538254,0.0863647
36,1,0.0165558,0.010376,0.0213623,0.0498199,0.103493
36,2,0.0175858,0.0108719,0.0152969,0.0494766,0.103569
36,3,0.0167847,0.00915527,0.0116348,0.0544357,0.10994
36,4,0.0102234,0.00587463,0.0194931,0.0580597,0.107994
37,0,0.00762939,0.0025177,0.0222778,0.0562286,0.0952911
37,1,0.00476837,0.00312805,0.0267792,0.0533295,0.0769043
37,2,0.00328064,-0.000457764,0.0305939,0.0544739,0.0626755
37,3,0.00518799,-0.000915527,0.0263214,0.0543594,0.0546265
37,4,0.00637054,-0.000724792,0.0275803,0.0535583,0.049324
38,0,0.0063324,-0.0056839,0.0255585,0.0577545,0.0774765
38,1,0.00774384,-0.00839233,0.0281906,0.056076,0.0774384
38,2,0.00305176,-0.00991821,0.037384,0.0520325,0.0636673
38,3,0.00652313,-0.0115967,0.0456619,0.0536728,0.065155
38,4,0.0118637,-0.0139236,0.0528717,0.0511932,0.00835419
39,0,0.00915527,-0.014534,0.0533676,0.0487518,-0.0391006
39,1,0.00583649,-0.0140381,0.0499725,0.047226,-0.00747681
39,2,0.00640869,-0.0157928,0.0502014,0.0477982,0.0025177
39,3,-0.000534058,-0.0209808,0.0579834,0.0484848,0.0407028
39,4,-0.00434875,-0.0152206,0.0514984,0.0521088,0.02388
40,0,-0.0044632,-0.0133133,0.0534439,0.057373,0.00495911
40,1,-0.0082016,-0.0153732,0.0555038,0.0594711,0.0314713
40,2,-0.0141525,-0.0129318,0.0581741,0.0579453,0.0432968
40,3,-0.0147247,-0.0117874,0.0573349,0.0569153,0.0296783
40,4,-0.0133896,-0.00972748,0.0570297,0.057869,0.0572968
41,0,-0.00408173,-0.00896454,0.0592041,0.0545883,0.0774002
41,1,0.0082016,-0.00831604,0.0601959,0.0534058,0.0891876
41,2,0.0168991,-0.00602722,0.0551224,0.0523758,0.125618
41,3,0.00415802,-0.00720978,0.0515747,0.0533676,0.16346
41,4,-0.0121307,-0.0018692,0.0491333,0.0501251,0.143013
42,0,-0.0247192,-0.001297,0.0521851,0.0509262,0.0984955
42,1,-0.0300217,-0.000152588,0.0489807,0.0556946,0.0208664
42,2,-0.0207901,0.000648499,0.0474167,0.0535965,0.0623322
42,3,-0.0102234,0.00297546,0.0499725,0.0506973,0.125847
42,4,-0.00919342,0.00354767,0.0460434,0.0536346,0.115509
43,0,-0.00946045,0.00465393,0.0439453,0.0576019,0.0865555
43,1,-0.00526428,0.0063324,0.0474167,0.054245,0.0452805
43,2,-0.010643,0.00564575,0.0495529,0.0582886,-0.0227737
43,3,-0.0133133,0.00865936,0.046196,0.0556946,-0.0300217
43,4,-0.00408173,0.0120544,0.0445557,0.0568771,-0.0291824
44,0,-0.00228882,0.0102997,0.0426483,0.0578308,-0.0782013
44,1,0.00282288,0.0123215,0.0388336,0.0574875,-0.0861359
44,2,0.0141144,0.0125504,0.0369644,0.0588608,-0.000991821
44,3,0.0208282,0.00705719,0.0417328,0.0486374,0.0484848
44,4,0.0183868,0.00576019,0.0423431,0.0504303,0.0971222
45,0,0.0169373,0.00701904,0.0386047,0.0450516,0.128021
45,1,0.0157166,0.00682831,0.03582,0.0477982,0.156326
45,2,0.0206375,0.00530243,0.0378799,0.0482559,0.158234
45,3,0.0123978,0.00144958,0.037384,0.04776,0.142059
45,4,0.00694275,0.00740051,0.037384,0.0514984,0.122452
46,0,0.00415802,0.00778198,0.031662,0.0514603,0.1194
46,1,-0.00213623,0.00255585,0.0324249,0.0516129,0.0801849
46,2,-0.00598907,0.00133514,0.0382996,0.0528717,0.020752
46,3,0.00392914,0.00350952,0.0427246,0.0523758,0.0107956
46,4,0.0131226,-0.000801086,0.0509644,0.0573349,0.0233078
47,0,0.0146484,-0.000915527,0.049324,0.0571823,0.0137711
47,1,0.00984192,-0.00392914,0.0514221,0.052681,0
47,2,0.00102997,-0.00347137,0.0505066,0.0494385,0.00518799
47,3,0.00110626,-0.00312805,0.0521469,0.0554276,0.0281143
47,4,0.0025177,-0.00686646,0.054512,0.0597,0.0418854
48,0,0.00366211,-0.00370026,0.0553131,0.0579834,0.0713348
48,1,0.0180435,-0.00728607,0.0530243,0.0555038,0.0792313
48,2,0.0127792,-0.00827789,0.0550842,0.0515366,0.0980377
48,3,-0.000457764,-0.00614166,0.0534058,0.0535965,0.0954819
48,4,-0.0277328,-0.000762939,0.0497818,0.0535202,0.104256
49,0,-0.0346375,-0.00118256,0.0503922,0.0503922,0.112915
49,1,-0.017128,-0.00240326,0.0476074,0.0524902,0.0751495
49,2,-0.00888824,-0.00293732,0.0484848,0.0495911,0.0402832
49,3,-0.000457764,-0.00156403,0.0456238,0.0476456,0.0224686
49,4,0.00282288,0.00244141,0.0456238,0.051651,0.00106812
50,0,0.00331879,0.00259399,0.0426102,0.050354,-0.016861
50,1,-0.0018692,0.00564575,0.0391769,0.0511551,0.00488281
50,2,-0.00347137,0.00579834,0.041275,0.0574112,0.0481796
50,3,0.00270844,0.00606537,0.0425339,0.05867,0.111961
50,4,0.00881195,0.00297546,0.0459671,0.0591278,0.084343
51,0,0.014534,-0.00087738,0.0445557,0.0569153,0.00816345
51,1,0.00751495,-0.00499725,0.0480652,0.0567627,0.0100327
51,2,-7.63E-05,-0.00514984,0.0485611,0.0568771,0.0196075
51,3,-0.00743866,-0.00431061,0.0489044,0.0609207,0.0388336
51,4,-0.00518799,-0.000839233,0.0458527,0.0584793,0.0613022
52,0,0.000572205,0.000114441,0.0410843,0.0557709,0.0225067
52,1,0.000267029,0.00087738,0.0427246,0.0497437,-0.0365067
52,2,0.00144958,0.0025177,0.0441742,0.049324,0.0415421
52,3,0.000724792,0.00804901,0.0443649,0.0512314,0.0792694
52,4,-0.00312805,0.0104904,0.0491714,0.0522232,0.0989914
53,0,-0.000762939,0.0133133,0.0495911,0.0585175,0.121536
53,1,-0.00225067,0.0204086,0.0506592,0.0554276,0.148773
53,2,-0.00335693,0.0113297,0.045433,0.0517654,0.136948
53,3,-0.00858307,0.00846863,0.0432205,0.0482178,0.131149
53,4,-0.00701904,0.00434875,0.0411224,0.0498581,0.115852
54,0,-0.0123978,-0.000648499,0.0429535,0.0502777,0.0963593
54,1,-0.0102234,-0.0107193,0.0390244,0.0497437,0.0597382
54,2,-0.0125885,-0.015831,0.0402451,0.0504303,0.0289917
54,3,-0.0164032,-0.0143051,0.0413895,0.0537872,0.0260544
54,4,-0.0113678,-0.0180435,0.0387573,0.0569916,0.0411224
55,0,-0.00919342,-0.0170517,0.0424194,0.0572968,0.0777435
55,1,-0.00724792,-0.0181198,0.046463,0.0532532,0.113792
55,2,-0.00263214,-0.0111008,0.045929,0.0564194,0.0879669
55,3,0.00259399,0.00144958,0.0476074,0.0582123,0.0187683
55,4,0.00946045,0.00881195,0.0507355,0.0593185,-0.0625229
56,0,0.0100327,0.0102997,0.054512,0.059433,-0.0503922
56,1,0.00930786,0.0105286,0.0556183,0.057106,-0.0605774
56,2,0.0106812,0.000648499,0.0538254,0.0539398,-0.00854492
56,3,0.0142288,-0.00656128,0.0524521,0.0546646,-0.0202942
56,4,0.0175095,-0.00797272,0.051918,0.0555801,0.0505447
57,0,0.0185776,-0.00682831,0.0510406,0.052681,0.0627899
57,1,0.0163651,-0.00823975,0.0473785,0.0522232,0.0423431
57,2,0.018425,3.81E-05,0.0448608,0.0530243,0.0508499
57,3,0.0115967,0.00961304,0.0447083,0.0522995,0.0828171
57,4,0.0050354,0.0121689,0.0419998,0.0508881,0.113907
58,0,0.00259399,0.0172043,0.0476456,0.0552368,0.124435
58,1,-0.00427246,0.0123596,0.0498581,0.0521088,0.117264
58,2,-0.00843048,0.0170898,0.0502014,0.0520325,0.100784
58,3,-0.00938416,0.0191498,0.052948,0.051651,0.0884247
58,4,-0.0088501,0.0164032,0.0540543,0.0515366,0.0804901
59,0,-0.00564575,0.0244904,0.0526047,0.0490952,0.0732422
59,1,-0.00583649,0.0313187,0.0488663,0.0444794,0.0670624
59,2,-0.00705719,0.0395584,0.043869,0.0512695,0.0653839
59,3,-0.0108719,0.027504,0.0375366,0.0531387,0.0617599
59,4,-0.0101089,0.0189209,0.0348282,0.0518036,0.0571442
60,0,-0.0111389,0.00125885,0.0336456,0.052948,0.0527954
60,1,-0.00957489,-0.0136566,0.0326538,0.0491714,0.051651
60,2,-0.00976563,-0.00766754,0.0340652,0.0509262,0.0527191
60,3,-0.00663757,-0.00492096,0.0367355,0.0498581,0.0468826
60,4,-0.00659943,-0.0177765,0.0357056,0.0555038,0.0419617
61,0,-0.0124359,-0.0154114,0.0323868,0.0565338,0.0469208
61,1,-0.0119781,-0.0217819,0.0340271,0.0582504,0.0618744
61,2,-0.0173569,-0.0252533,0.0349808,0.0566864,0.0662994
61,3,-0.019722,-0.0255585,0.0371552,0.0527191,0.0644302
61,4,-0.0134659,-0.0246429,0.0384903,0.0540161,0.0642395
62,0,-0.0109482,-0.0181961,0.0454712,0.055275,0.0697708
62,1,-0.0082016,-0.00926971,0.0461578,0.0543594,0.0641251
62,2,-0.00709534,0.000190735,0.0505066,0.0558472,0.0236511
62,3,-0.000457764,-0.00541687,0.0560379,0.0574112,-0.00766754
62,4,0.00770569,-0.00278473,0.0574112,0.0582123,0.00190735
63,0,0.017128,-0.00686646,0.0546646,0.0574875,0.0248337
63,1,0.026741,-0.0195313,0.0553894,0.0518799,0.0380325
63,2,0.0434113,-0.018692,0.0579453,0.051918,0.0400162
63,3,0.0535202,-0.0199509,0.057373,0.0536346,0.0339508
63,4,0.055809,-0.0190735,0.0589752,0.0553131,0.0416565
64,0,0.0484848,-0.0150681,0.0522232,0.0550842,0.0569916
64,1,0.0455856,-0.00823975,0.0505066,0.0542068,0.0633621
64,2,0.0395966,-0.00873566,0.0423813,0.0530624,0.064888
64,3,0.0349426,-0.00629425,0.0375748,0.0522232,0.0661087
64,4,0.0275803,-0.00133514,0.0326538,0.0455856,0.0628662
65,0,0.020256,0.000648499,0.0327682,0.0482178,0.0736618
65,1,0.0154495,0.00202179,0.0424957,0.0545502,0.094986
65,2,0.00495911,0.00457764,0.0484085,0.0600052,0.0969696
65,3,0.00221252,0.00267029,0.0465012,0.0555038,0.0806427
65,4,-0.00968933,-0.000610352,0.0452423,0.0511932,0.055809
66,0,-0.00888824,0.00488281,0.0427246,0.0495148,0.0701523
66,1,-0.00614166,0.0136948,0.043602,0.0539017,0.0894547
66,2,0.000228882,0.0218582,0.04673,0.054245,0.0822449
66,3,-0.000839233,0.026207,0.0477982,0.0533295,0.0954437
66,4,-0.00221252,0.0249481,0.0502396,0.0540161,0.0839996
67,0,-0.00614166,0.018425,0.0531387,0.0573349,0.0445175
67,1,-0.013504,0.0152206,0.0478745,0.0549316,0.0117874
67,2,-0.0226212,0.00972748,0.0475311,0.0488281,-0.0406647
67,3,-0.0315094,0.00408173,0.043869,0.053215,-0.0898361
67,4,-0.0404739,0.00133514,0.0466537,0.0523758,-0.0439453
68,0,-0.0415421,-0.00232697,0.052681,0.0559235,0.0710297
68,1,-0.0404358,-0.00232697,0.0499725,0.0572205,0.0819397
68,2,-0.0391388,-0.00541687,0.0442886,0.0557709,0.0722504
68,3,-0.0356293,-0.00087738,0.044899,0.056839,0.0849152
68,4,-0.032196,-0.00171661,0.045929,0.058403,0.0762177
69,0,-0.0286484,0.00331879,0.0470734,0.0582123,0.0810623
69,1,-0.0260925,0.00286102,0.0445175,0.0524902,0.129547
69,2,-0.0238037,0.00514984,0.0446701,0.0507736,0.140724
69,3,-0.0197983,0.00419617,0.0487137,0.050087,0.121841
69,4,-0.01194,-0.000953674,0.0487137,0.0538254,0.0566101
70,0,-0.00701904,-0.00133514,0.0458145,0.057106,0.080986
70,1,-0.00297546,-0.00720978,0.0466537,0.056839,0.0688934
70,2,0.00244141,-0.00591278,0.0498962,0.0467682,0.0362015
70,3,0.00282288,-0.00179291,0.0459671,0.0432587,0.00759125
70,4,0.001297,-0.00110626,0.0476074,0.0437927,-0.0105667
71,0,0.0106049,-0.00328064,0.0466919,0.0483704,0.0476456
71,1,0.0169754,-0.000648499,0.0485229,0.0490189,0.0702667
71,2,0.0266266,0.00640869,0.0487518,0.0516891,0.0706863
71,3,0.0284576,0.00770569,0.04776,0.0550842,0.073967
71,4,0.0253677,0.00762939,0.0408936,0.0521469,0.0762558
72,0,0.0209427,0.0030899,0.0382996,0.0541687,0.0616074
72,1,0.0161362,-0.000572205,0.0398636,0.0591278,0.0259399
72,2,0.0131607,-0.00598907,0.0432968,0.064888,0.0311279
72,3,0.00904083,-0.00934601,0.0451279,0.0622177,0.0323486
72,4,0.0102615,-0.00846863,0.0440216,0.0617599,0.019722
73,0,0.00659943,-0.00835419,0.0386429,0.0614929,0.00038147
73,1,0.00148773,-0.0031662,0.0352859,0.0584793,0.0623322
73,2,0.00267029,-0.00106812,0.0344086,0.0535202,0.114861
73,3,0.00667572,-0.00179291,0.0348282,0.0541306,0.131226
73,4,0.00751495,0.000915527,0.0376129,0.0570297,0.103722
74,0,0.0108719,0.00617981,0.0419235,0.0524521,0.0185013
74,1,0.0114059,0.00720978,0.0449371,0.0502396,-0.0210571
74,2,0.0131989,0.0109482,0.0501251,0.0542831,-0.00984192
74,3,0.0200653,0.00823975,0.0577164,0.0601959,0.0627899
74,4,0.0272751,0.00473022,0.0611877,0.0588989,0.0460815
75,0,0.0296783,0.00282288,0.0580597,0.0498962,0.0292206
75,1,0.0292587,0.000305176,0.0548935,0.0505447,0.0409317
75,2,0.0304031,-0.00659943,0.0460815,0.0455856,0.063858
75,3,0.0318527,-0.00709534,0.0511551,0.0524521,0.0659561
75,4,0.0316238,-0.00751495,0.051384,0.052681,0.0577545
76,0,0.0259018,-0.00476837,0.0481796,0.0471497,0.0275421
76,1,0.0144577,0.00263214,0.0456619,0.0510025,0.00537872
76,2,0.00869751,0.00240326,0.0481033,0.0527191,0.0650787
76,3,0.00137329,0.00247955,0.0432587,0.0501251,0.107574
76,4,-0.00972748,0.000305176,0.046196,0.0492859,0.107536
77,0,-0.0210953,0.00167847,0.0433731,0.0477982,0.0965118
77,1,-0.0341034,0.0075531,0.0436783,0.051918,0.100212
77,2,-0.0469971,0.00522614,0.0417709,0.0517654,0.0989151
77,3,-0.0544739,-0.000991821,0.0416183,0.0492859,0.0892258
77,4,-0.0519562,0.00537872,0.0466156,0.0508118,0.0826645
78,0,-0.0502014,0.00370026,0.0444031,0.050087,0.0666428
78,1,-0.0495911,0.00209808,0.0461197,0.0518036,0.0669479
78,2,-0.0284195,-0.00354767,0.0467682,0.0569153,0.0722504
78,3,-0.0125122,-0.0075531,0.0424194,0.0562668,0.0788879
78,4,-0.0100327,-0.00442505,0.0395966,0.0564957,0.0788498
79,0,-0.0337982,-0.00247955,0.0369263,0.0567245,0.0911713
79,1,-0.0691223,3.81E-05,0.0383377,0.0550842,0.082016
79,2,-0.0832748,0.00499725,0.0426483,0.055542,0.0594711
79,3,-0.0673294,0.00389099,0.0415421,0.0550079,0.0152588
79,4,-0.0146103,-0.0044632,0.045166,0.0550079,-0.0598526
80,0,0.0278091,-0.0120163,0.0437164,0.0569534,-0.101395
80,1,0.0553894,-0.00907898,0.0498199,0.0532913,-0.0413513
80,2,0.0667953,-0.00370026,0.0527954,0.0578308,0.0480652
80,3,0.0550461,-0.00362396,0.0533676,0.057373,0.0786972
80,4,0.0440216,-0.00862122,0.0479507,0.0555801,0.0849915
81,0,0.0392914,-0.00759125,0.0445557,0.0544739,0.0717926
81,1,0.0319672,0.00232697,0.046463,0.0566101,0.0396729
81,2,0.0186539,0.011673,0.0405502,0.054512,-0.0107574
